"","Hour_of_day","Day_date","date_time","pickups","min","Row_num","Date","Time..EST.","Temp.","Visibility","Precip","Conditions","Day_of_week","Month","Week","X","Date_1","one_week_lag_pickups","isholiday","hour_min"
"337",0,2015-01-08,"2015-01-08 00:00:00",2322,0,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",5495,"0","0-0"
"338",0,2015-01-08,"2015-01-08 00:30:00",1694,30,169,"1/8/2015","0:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 0:51",6950,"0","0-30"
"339",1,2015-01-08,"2015-01-08 01:00:00",1266,0,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",7019,"0","1-0"
"340",1,2015-01-08,"2015-01-08 01:30:00",1019,30,170,"1/8/2015","1:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 1:51",6516,"0","1-30"
"341",2,2015-01-08,"2015-01-08 02:00:00",767,0,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",5828,"0","2-0"
"342",2,2015-01-08,"2015-01-08 02:30:00",631,30,171,"1/8/2015","2:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 2:51",5436,"0","2-30"
"343",3,2015-01-08,"2015-01-08 03:00:00",454,0,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",4706,"0","3-0"
"344",3,2015-01-08,"2015-01-08 03:30:00",482,30,172,"1/8/2015","3:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 3:51",3905,"0","3-30"
"345",4,2015-01-08,"2015-01-08 04:00:00",511,0,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",3288,"0","4-0"
"346",4,2015-01-08,"2015-01-08 04:30:00",490,30,173,"1/8/2015","4:51:00",-12.8,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 4:51",2235,"0","4-30"
"347",5,2015-01-08,"2015-01-08 05:00:00",632,0,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",1599,"0","5-0"
"348",5,2015-01-08,"2015-01-08 05:30:00",1384,30,174,"1/8/2015","5:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 5:51",1310,"0","5-30"
"349",6,2015-01-08,"2015-01-08 06:00:00",2239,0,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",1100,"0","6-0"
"350",6,2015-01-08,"2015-01-08 06:30:00",4012,30,175,"1/8/2015","6:51:00",-12.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 6:51",1232,"0","6-30"
"351",7,2015-01-08,"2015-01-08 07:00:00",5533,0,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",1205,"0","7-0"
"352",7,2015-01-08,"2015-01-08 07:30:00",6843,30,176,"1/8/2015","7:51:00",-11.7,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 7:51",1209,"0","7-30"
"353",8,2015-01-08,"2015-01-08 08:00:00",7352,0,177,"1/8/2015","8:51:00",-10.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 8:51",1221,"0","8-0"
"354",8,2015-01-08,"2015-01-08 08:30:00",7795,30,177,"1/8/2015","8:51:00",-10.6,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 8:51",1263,"0","8-30"
"355",9,2015-01-08,"2015-01-08 09:00:00",7011,0,178,"1/8/2015","9:51:00",-9.4,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 9:51",1488,"0","9-0"
"356",9,2015-01-08,"2015-01-08 09:30:00",6674,30,178,"1/8/2015","9:51:00",-9.4,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 9:51",1847,"0","9-30"
"357",10,2015-01-08,"2015-01-08 10:00:00",6036,0,179,"1/8/2015","10:51:00",-8.3,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 10:51",2238,"0","10-0"
"358",10,2015-01-08,"2015-01-08 10:30:00",6054,30,179,"1/8/2015","10:51:00",-8.3,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 10:51",2785,"0","10-30"
"359",11,2015-01-08,"2015-01-08 11:00:00",5590,0,180,"1/8/2015","11:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 11:51",3249,"0","11-0"
"360",11,2015-01-08,"2015-01-08 11:30:00",6220,30,180,"1/8/2015","11:51:00",-7.2,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 11:51",3810,"0","11-30"
"361",12,2015-01-08,"2015-01-08 12:00:00",6407,0,181,"1/8/2015","12:51:00",-6.1,16.1,0,"Partly Cloudy","5",1,2,NA,"1/8/2015 12:51",4155,"0","12-0"
